WELL,START_DATE,END_DATE,WELL START END,LIFETIME,WELL_TYPE,PSN,DHS,ROD_GUIDE,AVE_GROSS,AVE_GAS,PUMP_EFF,OD_PUMP,SL,SPM,SM,TORQUE,LOAD,ROD_STRESS,FREQ_OFF,HOUR_OFF,SAND,GASSY,PARAFFINIC,SCALE,SAND_LEVEL,RIG REPORT
ST-161,6-May-20,4-Apr-21,ST-1614395744290,334,VERTICAL,960,MPR,0,177,55,0.45,2,168,5.0,6,0.719,0.331,0.569,33,88,0,1,0,0,0,
ST-162,19-Nov-15,5-Feb-16,ST-1624232742405,79,VERTICAL,1183,GACT,0,23,7,0.13,2.5,47,5.0,114,0.225,0.616,0.664,1,1048,0,0,0,0,0,
ST-164,16-Dec-16,7-Aug-17,ST-1644272042954,235,VERTICAL,442,MPR,0,17,1,0.08,2,74,5.9,8,0.27,0.184,0.272,43,119,0,0,0,0,0,
ST-164,8-Aug-17,15-Dec-19,ST-1644295543814,860,VERTICAL,442,MPR,0,14,1,0.13,2,74,3.1,6,0.242,0.165,0.243,71,201,0,0,0,0,0,
ST-164,30-Dec-19,5-Jan-21,ST-1644382944201,373,VERTICAL,458,SANDTRAP,0,11,1,0.10,2,74,3.0,3,0.239,0.17,0.25,12,28,0,0,0,0,0,
ST-168,14-Nov-18,8-Mar-19,ST-1684341843532,115,VERTICAL,1007,GACT,0,108,47,0.29,2,124,6.5,87,0.619,0.406,0.786,14,97,1,1,0,0,88,
ST-168,10-Mar-19,4-May-19,ST-1684353443589,56,VERTICAL,1017,GACT,0,105,54,0.28,2,124,6.5,8,0.666,0.426,0.825,3,11,0,1,0,0,0,
ST-168,18-Jul-19,15-Jan-20,ST-1684366443845,182,VERTICAL,1019,GACT,0,169,55,0.37,2,124,7.8,148,0.648,0.415,0.811,16,26,0,1,0,0,0,
ST-168,21-Jan-20,23-Jan-20,ST-1684385143853,3,VERTICAL,1019,GACT,0,156,35,0.32,2,124,8.5,82,0.758,0.455,0.898,2,27,0,1,0,0,0,
ST-168,26-Jan-20,5-Sep-20,ST-1684385644079,224,VERTICAL,1019,GACT,0,115,41,0.47,2,74,7.2,57,0.549,0.583,0.783,17,48,1,1,0,0,174,
ST-168,11-Sep-20,30-Apr-21,ST-1684408544316,232,VERTICAL,1019,GACT,0,117,20,0.40,2,74,8.5,81,0.575,0.592,0.801,19,48,1,1,0,0,170,
ST-174,1-Jul-18,11-Jan-19,ST-1744328243476,195,VERTICAL,547,GACT,0,30,9,0.11,2.5,64,6.0,3,0.697,0.448,0.379,28,384,0,0,0,0,0,
ST-174,13-Jan-19,29-Sep-19,ST-1744347843737,260,VERTICAL,499,GACT,0,30,6,0.12,2.5,64,5.5,2,0.675,0.409,0.348,17,101,0,0,1,0,0,
ST-174,24-Jan-20,17-Oct-20,ST-1744385444121,268,VERTICAL,506.9,GACT,0,35,13,0.14,2.5,64,5.4,1,0.674,0.413,0.351,10,34,0,1,1,0,0,
ST-176,8-Jan-15,17-Mar-20,ST-1764201243907,1896,VERTICAL,700,GACT,0,54,61,0.27,2.5,54,5.0,4,0.29,0.383,0.377,130,8911,0,1,1,0,0,
ST-176,1-Jun-20,4-Jun-20,ST-1764398343986,4,VERTICAL,700,GACT,0,39,0,0.31,2,54,5.0,9,0.288,0.382,0.376,2,23,0,0,1,0,0,
ST-179,20-Mar-15,7-Jun-17,ST-1794208342893,811,VERTICAL,603,SANDTRAP,0,21,0,0.12,2,86,4.5,10,0.168,0.226,0.328,75,7575,0,0,0,0,0,
ST-179,14-Jun-17,26-Apr-20,ST-1794290043947,1048,VERTICAL,603,SANDTRAP,0,27,0,0.22,2,86,3.0,3,0.125,0.218,0.313,89,264,0,0,0,0,0,
ST-179,29-Apr-20,7-May-20,ST-1794395043958,9,VERTICAL,1107,SANDTRAP,0,51,42,0.42,2,86,3.0,354,0.114,0.347,0.464,4,73,0,1,0,0,0,
ST-182,24-Sep-16,26-Dec-16,ST-1824263742730,94,VERTICAL,1194,SANDTRAP,0,4,8,0.02,2,64,6.7,9,0.546,0.2,0.177,12,88,0,0,0,0,0,
ST-182,6-Jan-17,12-Jan-17,ST-1824274142747,7,VERTICAL,1194,SANDTRAP,0,54,0,0.28,2,64,6.5,313,0.569,0.704,0.545,0,0,1,0,0,0,117,
ST-182,16-Jan-17,18-Jan-17,ST-1824275142753,3,VERTICAL,1150,MPR,0,67,0,0.22,2,64,10.0,1083,0.453,0.574,0.449,3,63,1,0,0,0,99,
ST-182,26-Jan-17,2-Feb-17,ST-1824276142768,8,VERTICAL,1150,MPR,0,77,5,0.26,2,64,10.0,662,0.658,0.743,0.586,8,138,0,0,0,0,0,
